Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
17:50:19.910,2,-98.1,-85.2,6.5,-12.9,-107.2
17:50:20.200,2,-96,-83.7,9,-12.4,-101.8
17:50:20.578,2,-98.6,-84.6,12.8,-14.1,-110.3
17:50:20.658,2,-97.6,-85.2,13,-12.5,-105.2
17:50:21.018,1,-103.1,-85.6,16.6,-17.5,-109.8
17:50:21.138,1,-90.4,-80.3,9.2,-10.1,-99
17:50:21.218,1,-98.4,-85.2,11.5,-13.1,-103.9
17:50:21.860,1,-94,-83.4,5.5,-10.6,-106.4
17:50:22.178,1,-100.3,-87.4,9.5,-12.8,-106.7
17:50:22.418,1,-97,-85,7.5,-12,-111.2
17:50:22.458,1,-94,-83.3,5.5,-10.6,-108.5
17:50:22.498,1,-93.2,-85.5,7.5,-7.7,-106.6
17:50:22.578,1,-95.5,-85.7,7.7,-9.8,-107.8
17:50:22.738,1,-96.9,-84.6,4.7,-12.3,-108.3
17:50:22.818,1,-96.8,-84.8,-0.8,-12,-109.9
17:50:23.178,1,-95.8,-84.2,6.2,-11.6,-103.5
17:50:23.258,1,-92.7,-81.2,6.7,-11.4,-104.8
17:50:23.360,1,-95.8,-84.6,13.5,-11.2,-109
17:50:23.498,1,-97.1,-86.8,6.5,-10.4,-106.2
17:50:23.578,1,-99.5,-84.7,7.7,-14.9,-104.7
17:50:23.658,1,-99.4,-84.7,8.7,-14.7,-102.5
17:50:24.100,1,-100.8,-85.1,5.7,-15.7,-112.5
17:50:24.150,1,-100.3,-86.2,2.3,-14.2,-112.4
17:50:24.788,1,-101.4,-85.7,11.2,-15.7,-102.6
17:50:25.170,1,-98.5,-83.7,4.5,-14.8,-102.1
17:50:25.250,1,-99.7,-83.7,6.1,-16,-106.9
17:50:25.460,1,-98.7,-85.2,11.5,-13.5,-107.1
17:50:25.740,1,-99.5,-84.7,12.9,-14.9,-104.1
17:50:26.138,2,-102.6,-86.5,8.9,-16.1,-106
17:50:26.620,2,-103.1,-85.8,14.2,-17.3,-108.8
17:50:26.700,2,-103,-84.8,19.2,-18.3,-102.6
17:50:26.910,2,-94.8,-87.3,8.7,-7.5,-106.1
17:50:27.580,2,-98,-85.2,13.2,-12.8,-107.3
17:50:27.700,2,-95.7,-84.2,14,-11.4,-98.1
17:50:27.820,2,-98.2,-84.5,13.2,-13.7,-107.2
17:50:27.900,2,-99.6,-84.8,9.8,-14.8,-105.6
17:50:27.940,2,-101.9,-86.1,12,-15.8,-113.7
17:50:28.140,2,-101.4,-85.8,9.2,-15.5,-104.1
17:50:28.220,2,-100.4,-86.8,10.2,-13.5,-108.4
17:50:28.260,2,-99.3,-85.8,0.7,-13.5,-106.7
17:50:28.300,2,-99.6,-84.2,4.9,-15.3,-105.4
17:50:28.350,2,-101.8,-86.2,12.3,-15.6,-102
17:50:28.420,2,-98.1,-83.8,4.7,-14.3,-112.6
17:50:28.620,2,-101.7,-85.8,14.8,-16,-113.4
17:50:28.900,2,-96.9,-85.4,4.5,-11.5,-105
17:50:28.940,2,-100.5,-86.2,4.5,-14.3,-108.7
17:50:29.020,2,-100.9,-85.8,2.7,-15.2,-108.3
17:50:29.090,2,-99.8,-85.1,1.5,-14.7,-107.5
