RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-66.1,-62.7,-17.4,-82.5,-84.71958340526513
-64.2,-55.6,-18.8,-80.2,-80.26931239969373
-70.5,-60.6,-15.6,-87.3,-85.14577970656934
-68.8,-57.6,-19.0,-78.3,-83.43576876427062
-68.6,-59.3,-18.6,-81.1,-84.1993662785499
-67.6,-64.4,-18.2,-83.3,-86.47498203158214
-71.9,-63.0,-12.6,-88.6,-86.47498875872091
-67.4,-64.2,-11.6,-84.7,-84.94658467425793
-74.1,-68.9,-6.6,-85.1,-89.47209090903674
-71.0,-62.0,-14.6,-82.4,-85.93265516711797
-75.6,-67.3,-14.0,-92.3,-90.7479025532102
-76.6,-68.2,-10.4,-86.9,-90.95695835806775
-79.2,-69.2,-13.3,-95.5,-93.2369646040663
-80.5,-75.3,-8.6,-94.3,-96.20882616469115
-83.0,-78.9,-12.4,-94.3,-100.05225735311777
-80.2,-70.4,-10.6,-94.1,-93.79199958049233
-80.5,-70.2,-9.2,-95.8,-93.5324120111329
-73.8,-69.6,-10.4,-91.4,-90.48973864401619
-88.5,-77.2,-3.0,-98.7,-99.65102182643497
-76.6,-71.8,-8.4,-90.8,-92.52839605413764
-79.5,-73.3,-4.6,-91.5,-93.86435637972075
-83.9,-77.2,-4.2,-91.8,-97.8637935169506
-82.0,-72.2,-8.4,-99.7,-95.12982255066848
-77.3,-73.1,-5.3,-92.9,-92.9253118543903
-78.7,-74.8,-15.0,-96.2,-96.43072234231359
-85.5,-70.6,-12.8,-96.0,-96.68310504721002
-85.3,-75.8,2.6,-97.1,-96.34266019461883
-84.5,-74.1,-3.2,-99.1,-96.22651617718135
-82.3,-72.2,-1.4,-96.1,-93.85104896164692
-89.5,-77.1,-4.0,-96.5,-100.23887419144808
-92.0,-76.6,2.8,-103.7,-99.69662110411716
-89.5,-76.4,6.4,-98.7,-97.75841816006668
-89.0,-77.2,3.8,-92.4,-98.50078877432021
-91.8,-78.3,-0.7,-98.8,-101.2464075414223
-94.6,-78.0,0.8,-101.8,-102.01460041519304
-88.2,-77.4,0.6,-94.6,-98.90267487909456
-88.0,-76.0,1.4,-97.9,-97.88527772689221
-85.6,-78.5,0.6,-99.3,-98.35912736271929
-87.1,-76.0,-0.8,-97.6,-97.93176471116554
-78.0,-72.0,-9.6,-89.1,-93.49756307085882
-78.9,-69.5,-4.6,-92.8,-91.51537476921293
-82.6,-76.8,1.4,-93.3,-95.9420550646113
-82.4,-77.2,-0.6,-96.0,-96.47640699313574
-83.1,-74.6,-10.2,-91.5,-97.29431400449366
-88.2,-74.9,-1.4,-99.5,-97.93459069775379
-83.4,-72.4,-0.6,-90.3,-94.28470743733
-83.8,-73.8,-5.0,-91.5,-96.116040597795
-96.4,-70.4,-6.0,-104.7,-100.01077548047108
-86.4,-72.8,3.5,-86.2,-95.0009497553014
-81.9,-70.5,-4.1,-86.8,-93.28643185633317
-90.9,-75.3,5.0,-98.6,-98.0548484036851
-91.1,-75.0,5.5,-102.9,-97.87772714969145
-89.9,-76.3,-4.2,-98.0,-100.01683532842705
-87.0,-71.8,-2.4,-101.9,-95.90647875851532
-85.9,-72.0,1.6,-104.8,-94.72460442488374
-83.2,-74.3,5.9,-94.0,-93.92832548027717
-85.6,-74.9,0.2,-100.3,-96.4651506213055
-92.3,-73.5,16.2,-89.5,-95.4273314285742
-87.7,-67.8,-1.2,-90.5,-93.77934274051005
-57.8,-54.8,-39.8,-78.4,-81.24069381402481
-62.3,-57.6,-37.8,-79.8,-84.358349969301
-80.2,-64.0,-20.3,-93.4,-92.23697209355699
